,target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
70,104,2019-04-15 14:22:40.043,2019-04-15 14:26:00.043,3.333333333333428,310.577796,-29.292293,{'filter': 'B'}
71,TransitionBlock,2019-04-15 14:26:00.043,2019-04-15 14:28:20.043,2.3333333333332718,,,['filter:B to G']
72,11,2019-04-15 14:53:00.044,2019-04-15 14:56:00.044,2.9999999999998295,344.655928,62.55618,{'filter': 'G'}
73,TransitionBlock,2019-04-15 14:56:00.044,2019-04-15 14:57:00.044,0.9999999999999964,,,['filter:G to R']
74,105,2019-04-15 15:05:00.044,2019-04-15 15:08:00.044,2.9999999999999893,352.455217,54.046902,{'filter': 'R'}
75,TransitionBlock,2019-04-15 15:08:00.044,2019-04-15 15:08:40.044,0.6666666666667176,,,['filter:R to G']
76,105,2019-04-15 15:15:40.045,2019-04-15 15:18:40.045,2.9999999999999893,352.455217,54.046902,{'filter': 'G'}
77,TransitionBlock,2019-04-15 15:18:40.045,2019-04-15 15:20:20.045,1.666666666666714,,,['filter:G to R']
78,62,2019-04-15 15:23:20.045,2019-04-15 15:25:40.045,2.3333333333334316,320.901207,7.307483,{'filter': 'R'}
79,TransitionBlock,2019-04-15 15:25:40.045,2019-04-15 15:27:20.045,1.666666666666714,,,['filter:R to B']
80,80,2019-04-15 15:38:00.045,2019-04-15 15:40:20.045,2.3333333333334316,269.476656,64.304993,{'filter': 'B'}
81,TransitionBlock,2019-04-15 15:40:20.045,2019-04-15 15:41:40.045,1.3333333333332753,,,[]
82,22,2019-04-16 05:16:00.075,2019-04-16 05:18:40.075,2.6666666666667105,148.021923,52.784169,{'filter': 'B'}
83,TransitionBlock,2019-04-16 05:18:40.075,2019-04-16 05:20:00.075,1.3333333333334352,,,['filter:B to G']
84,112,2019-04-16 05:22:40.076,2019-04-16 05:26:00.076,3.333333333333268,52.562003,57.046486,{'filter': 'G'}
85,TransitionBlock,2019-04-16 05:26:00.076,2019-04-16 05:26:40.076,0.6666666666665577,,,['filter:G to R']
86,112,2019-04-16 05:27:40.076,2019-04-16 05:31:00.076,3.333333333333268,52.562003,57.046486,{'filter': 'R'}
87,TransitionBlock,2019-04-16 05:31:00.076,2019-04-16 05:33:00.076,1.999999999999993,,,[]
88,49,2019-04-16 05:38:40.076,2019-04-16 05:41:40.076,2.9999999999999893,165.257451,10.14758,{'filter': 'R'}
89,TransitionBlock,2019-04-16 05:41:40.076,2019-04-16 05:43:00.076,1.3333333333334352,,,[]
90,143,2019-04-16 05:49:40.077,2019-04-16 05:52:20.077,2.6666666666667105,179.047332,-37.08946,{'filter': 'R'}
91,TransitionBlock,2019-04-16 05:52:20.077,2019-04-16 05:54:00.077,1.666666666666714,,,[]
92,124,2019-04-16 05:54:00.077,2019-04-16 05:56:20.077,2.3333333333332718,132.285408,16.525044,{'filter': 'R'}
93,TransitionBlock,2019-04-16 05:56:20.077,2019-04-16 05:57:20.077,0.9999999999999964,,,['filter:R to B']
94,19,2019-04-16 06:16:00.078,2019-04-16 06:19:00.078,3.000000000000149,108.987254,-9.42627,{'filter': 'B'}
95,TransitionBlock,2019-04-16 06:19:00.078,2019-04-16 06:21:00.078,1.999999999999993,,,['filter:B to G']
96,23,2019-04-16 06:25:00.078,2019-04-16 06:27:00.078,1.999999999999993,71.203206,66.668131,{'filter': 'G'}
